source,target,weight,symptom
5,28,1,NaN
5,40,9,NaN
28,79,1,NaN
40,79,9,NaN
21,77,23,NaN
21,57,47,NaN
2,47,97,NaN
57,70,5,NaN
21,37,1,NaN
28,69,1,NaN
35,69,109,NaN
42,69,2,NaN
42,49,14,NaN
27,79,20,NaN
23,55,5,NaN
55,79,2,NaN
57,80,3,NaN
49,76,18,NaN
67,69,33,NaN
59,76,9,NaN
34,55,7,NaN
27,58,3,NaN
5,5,3,NaN
5,79,3,NaN
43,58,13,NaN
27,28,1,NaN
27,49,4,NaN
45,47,1,NaN
21,33,22,NaN
2,58,10,NaN
20,36,6,NaN
36,42,6,NaN
32,49,1260,NaN
68,69,6,NaN
2,23,10,NaN
20,28,9,NaN
24,47,1,NaN
24,59,1,NaN
57,59,1,NaN
47,54,26,NaN
70,77,259,NaN
58,71,2,NaN
58,77,2,NaN
21,47,75,NaN
2,71,17,NaN
43,71,2,NaN
68,71,2,NaN
63,70,22,NaN
27,47,67,NaN
47,57,32,NaN
33,71,2,NaN
4,7,153,NaN
7,21,19,NaN
7,34,5,NaN
7,57,22,NaN
7,59,2,NaN
7,63,12,NaN
7,79,11,NaN
7,47,29,NaN
4,34,2,NaN
4,47,36,NaN
4,27,21,NaN
7,27,19,NaN
46,77,4,NaN
18,20,7,NaN
18,28,2,NaN
18,69,19,NaN
18,35,244,NaN
15,64,1,NaN
5,18,1,NaN
18,23,1,NaN
18,77,1,NaN
15,28,1,NaN
15,16,20,NaN
69,76,1,NaN
46,59,13,NaN
33,49,2,NaN
49,64,8,NaN
15,18,39,NaN
15,20,1,NaN
23,64,6,NaN
58,75,4,NaN
2,70,65,NaN
46,69,3,NaN
35,46,173,NaN
40,46,1,NaN
2,36,6,NaN
2,59,29,NaN
43,49,4,NaN
18,43,7,NaN
52,80,85,NaN
4,70,2,NaN
5,63,1,NaN
63,79,1,NaN
20,46,8,NaN
4,35,5,NaN
4,40,5,NaN
18,72,5,NaN
40,72,220,NaN
43,69,5,NaN
18,36,57,NaN
4,72,2,NaN
27,52,22,NaN
49,59,6,NaN
27,80,3,NaN
47,76,41,NaN
70,76,7,NaN
64,71,13,NaN
71,76,107,NaN
68,72,109,NaN
18,79,1,NaN
69,72,418,NaN
2,27,16,NaN
43,72,45,NaN
72,79,63,NaN
18,32,205,NaN
67,72,11,NaN
14,47,2,NaN
43,45,2,NaN
69,79,50,NaN
59,63,1,NaN
4,71,23,NaN
32,71,113,NaN
57,71,107,NaN
21,23,2,NaN
23,70,1,NaN
18,71,178,NaN
5,69,5,NaN
5,72,7,NaN
31,70,139,NaN
2,31,1,NaN
20,31,56,NaN
21,31,1,NaN
31,63,1,NaN
31,64,1,NaN
2,21,12,NaN
55,77,5,NaN
23,75,31,NaN
72,78,71,NaN
21,48,5,NaN
7,80,131,NaN
27,76,7,NaN
14,27,1,NaN
14,71,1,NaN
47,78,3,NaN
5,78,5,NaN
78,79,5,NaN
2,76,7,NaN
36,76,10,NaN
42,76,8,NaN
76,77,10,NaN
20,76,4,NaN
64,76,3,NaN
34,76,1,NaN
21,58,1,NaN
2,55,9,NaN
5,55,9,NaN
36,55,9,NaN
55,76,3,NaN
5,61,1,NaN
42,61,1,NaN
59,61,1,NaN
47,61,1,NaN
33,76,2,NaN
44,76,2,NaN
27,55,1,NaN
7,18,74,NaN
9,69,33,NaN
29,72,13,NaN
29,78,6,NaN
21,76,10,NaN
59,72,2,NaN
11,80,167,NaN
59,69,2,NaN
11,18,260,NaN
4,11,70,NaN
11,21,2,NaN
11,71,110,NaN
69,78,27,NaN
7,71,144,NaN
76,78,2,NaN
11,49,700,NaN
49,78,28,NaN
7,49,139,NaN
7,46,201,NaN
11,46,200,NaN
32,46,103,NaN
44,46,10,NaN
46,63,8,NaN
2,77,1,NaN
42,77,2,NaN
44,77,1,NaN
36,77,2,NaN
8,27,1,NaN
46,60,78,NaN
7,11,79,NaN
7,76,26,NaN
36,46,110,NaN
32,60,1,NaN
35,60,1,NaN
7,33,3,NaN
7,36,6,NaN
46,67,11,NaN
18,68,9,NaN
63,69,3,NaN
36,49,4,NaN
2,46,11,NaN
11,36,4,NaN
54,69,11,NaN
33,70,3,NaN
29,63,4,NaN
32,58,1,NaN
64,75,2,NaN
4,32,1,NaN
49,72,95,NaN
47,80,3,NaN
4,9,37,NaN
49,69,3,NaN
52,59,2,NaN
11,58,1,NaN
11,59,1,NaN
72,75,1,NaN
36,58,10,NaN
5,27,4,NaN
42,46,12,NaN
46,57,1,NaN
52,70,23,NaN
49,50,4,NaN
50,68,1,NaN
50,72,1,NaN
4,36,13,NaN
46,55,4,NaN
52,69,5,NaN
72,80,22,NaN
36,57,2,NaN
52,72,6,NaN
18,63,18,NaN
16,55,1,NaN
20,55,7,NaN
42,55,9,NaN
43,55,5,NaN
16,27,4,NaN
16,70,3,NaN
9,72,22,NaN
35,72,3,NaN
35,59,1,NaN
7,52,1,NaN
5,60,1,NaN
60,79,1,NaN
18,80,1,NaN
32,69,37,NaN
9,18,3,NaN
9,15,7,NaN
15,32,23,NaN
15,40,7,NaN
15,68,21,NaN
15,80,1,NaN
67,80,2,NaN
54,71,1,NaN
69,71,1,NaN
15,52,2,NaN
68,80,1,NaN
16,71,1,NaN
15,35,9,NaN
15,71,3,NaN
47,52,1,NaN
52,71,4,NaN
40,71,2,NaN
49,71,2,NaN
35,71,1,NaN
