source,target,weight,symptom
44,46,2,NaN
49,75,50,NaN
75,79,67,NaN
72,75,63,NaN
46,77,1,NaN
5,75,21,NaN
18,63,1,NaN
36,60,1,NaN
42,60,1,NaN
44,60,3,NaN
46,60,18,NaN
60,77,1,NaN
2,64,5,NaN
2,47,3,NaN
47,60,7,NaN
75,76,2,NaN
60,64,42,NaN
4,71,35,NaN
35,71,6,NaN
71,76,247,NaN
5,60,1,NaN
47,79,6,NaN
60,79,1,NaN
20,27,51,NaN
68,71,4,NaN
2,72,1,NaN
20,47,13,NaN
69,75,44,NaN
71,75,1,NaN
20,70,58,NaN
59,64,168,NaN
30,71,4,NaN
36,71,380,NaN
49,71,2,NaN
59,76,1,NaN
67,71,1,NaN
49,61,2,NaN
61,75,1,NaN
35,75,29,NaN
46,70,4,NaN
20,61,2,NaN
27,59,182,NaN
30,64,148,NaN
36,64,83,NaN
27,64,34,NaN
10,12,6,NaN
10,65,6,NaN
5,12,3,NaN
12,79,3,NaN
10,49,162,NaN
2,71,307,NaN
11,71,278,NaN
52,71,75,NaN
11,61,22,NaN
61,71,215,NaN
33,70,5,NaN
20,31,142,NaN
31,36,4,NaN
31,59,184,NaN
31,77,10,NaN
27,63,13,NaN
2,61,49,NaN
63,71,133,NaN
63,80,96,NaN
52,61,10,NaN
61,63,44,NaN
5,20,4,NaN
5,23,2,NaN
5,44,4,NaN
5,63,2,NaN
5,80,1,NaN
20,79,4,NaN
23,79,2,NaN
44,79,4,NaN
63,79,2,NaN
79,80,1,NaN
12,60,36,NaN
60,65,191,NaN
60,67,190,NaN
23,27,1,NaN
1,2,261,NaN
10,79,74,NaN
10,76,11,NaN
10,69,1732,NaN
18,79,33,NaN
5,40,27,NaN
40,79,27,NaN
10,35,46,NaN
10,40,8,NaN
40,69,231,NaN
5,18,12,NaN
10,47,2369,NaN
10,64,773,NaN
10,68,1478,NaN
10,45,3222,NaN
4,10,80,NaN
23,33,22,NaN
10,18,1,NaN
18,67,84,NaN
18,71,170,NaN
10,34,1894,NaN
34,64,846,NaN
20,23,8,NaN
57,64,29,NaN
10,46,93,NaN
46,69,20,NaN
22,67,1,NaN
40,72,171,NaN
10,72,589,NaN
57,61,30,NaN
57,71,217,NaN
2,76,14,NaN
23,76,2,NaN
10,42,2607,NaN
1,71,104,NaN
4,61,1,NaN
4,7,16,NaN
36,46,116,NaN
34,70,3,NaN
43,64,1390,NaN
10,43,885,NaN
35,60,40,NaN
31,44,37,NaN
43,70,6,NaN
23,64,22,NaN
33,64,885,NaN
63,64,78,NaN
20,64,116,NaN
64,80,151,NaN
11,64,60,NaN
12,27,1,NaN
58,61,1,NaN
11,36,186,NaN
36,63,168,NaN
36,76,17,NaN
44,70,14,NaN
10,71,8,NaN
31,71,2,NaN
29,49,6,NaN
5,34,9,NaN
5,43,5,NaN
34,79,5,NaN
43,79,3,NaN
31,58,14,NaN
33,69,1,NaN
42,69,2,NaN
43,69,2,NaN
69,77,1,NaN
11,76,10,NaN
2,27,10,NaN
35,64,5,NaN
40,75,4,NaN
45,70,2,NaN
36,68,2,NaN
57,75,1,NaN
21,40,12,NaN
43,72,32,NaN
35,72,76,NaN
57,59,1,NaN
5,45,2,NaN
21,59,100,NaN
16,20,52,NaN
16,30,42,NaN
21,49,47,NaN
21,72,87,NaN
21,35,1,NaN
10,36,1,NaN
10,77,2,NaN
23,69,10,NaN
2,16,8,NaN
23,30,18,NaN
6,46,1,NaN
6,49,1,NaN
6,69,1,NaN
6,72,1,NaN
6,79,4,NaN
6,10,1,NaN
20,30,9,NaN
30,33,9,NaN
30,42,5,NaN
21,75,3,NaN
10,75,18,NaN
16,33,78,NaN
16,77,5,NaN
36,75,1,NaN
42,75,1,NaN
75,77,1,NaN
46,75,19,NaN
68,75,34,NaN
1,36,10,NaN
1,57,241,NaN
16,27,202,NaN
65,75,3,NaN
68,69,79,NaN
28,48,1,NaN
2,30,1,NaN
30,69,1,NaN
47,49,1,NaN
16,31,644,NaN
21,68,6,NaN
2,31,2,NaN
21,43,16,NaN
48,69,9,NaN
43,75,25,NaN
21,79,2,NaN
16,64,264,NaN
11,31,13,NaN
5,16,3,NaN
16,79,5,NaN
10,44,47,NaN
16,75,4,NaN
44,75,9,NaN
1,80,4,NaN
31,47,2,NaN
16,21,439,NaN
16,43,5,NaN
16,72,5,NaN
16,68,1,NaN
1,59,15,NaN
21,52,17,NaN
44,72,4,NaN
16,42,92,NaN
58,80,1,NaN
67,72,5,NaN
16,59,140,NaN
